PARAM,AVG_TIME,RUN,FAILED
10,484ms,1,0
10,107ms,2,0
10,154ms,3,0
50,3511ms,1,0
50,7020ms,2,0
50,5974ms,3,0
100,5520ms,1,0
100,8548ms,2,0
100,5104ms,3,0
